date,port,size,price,volume,vessel
2026-03-04,枕崎,4.5kg上,245.7,30.0,
2026-03-09,枕崎,4.5kg上,253.9,40.0,
2026-03-12,枕崎,4.5kg上,260.9,30.0,
2026-03-23,枕崎,4.5kg上,279.2,70.0,
2026-03-25,枕崎,4.5kg上,297.4,120.0,
2026-03-04,枕崎,2.5kg上,251.0,300.0,
2026-03-09,枕崎,2.5kg上,256.9,180.0,
2026-03-12,枕崎,2.5kg上,264.1,350.0,
2026-03-23,枕崎,2.5kg上,278.9,180.0,
2026-03-25,枕崎,2.5kg上,297.9,220.0,
2026-03-04,枕崎,1.8kg上,252.3,50.0,
2026-03-09,枕崎,1.8kg上,253.9,20.0,
2026-03-12,枕崎,1.8kg上,260.5,50.0,
2026-03-23,枕崎,1.8kg上,278.9,50.0,
2026-03-25,枕崎,1.8kg上,298.5,70.0,
2026-03-04,枕崎,1.8kg下,252.3,25.0,
2026-03-09,枕崎,1.8kg下,255.0,10.0,
2026-03-12,枕崎,1.8kg下,260.0,10.0,
2026-03-23,枕崎,1.8kg下,281.0,10.0,
2026-03-25,枕崎,1.8kg下,296.3,40.0,
2026-03-04,枕崎,B品2.5kg上,234.6,0.0,
2026-03-09,枕崎,B品2.5kg上,245.0,0.0,
2026-03-12,枕崎,B品2.5kg上,248.1,0.0,
2026-03-23,枕崎,B品2.5kg上,260.1,0.0,
2026-03-25,枕崎,B品2.5kg上,278.25,0.0,
2026-03-04,枕崎,B品2.5kg下,236.0,0.0,
2026-03-09,枕崎,B品2.5kg下,237.0,0.0,
2026-03-12,枕崎,B品2.5kg下,245.0,0.0,
2026-03-23,枕崎,B品2.5kg下,258.1,0.0,
2026-03-25,枕崎,B品2.5kg下,280.0,0.0,
2026-03-25,枕崎,8.0kg上,255.5,20.0,
2026-03-04,枕崎,6.0kg上,226.7,30.0,
2026-03-09,枕崎,6.0kg上,231.9,10.0,
2026-03-12,枕崎,6.0kg上,237.0,5.0,
2026-03-23,枕崎,6.0kg上,250.9,30.0,
2026-03-25,枕崎,6.0kg上,275.9,70.0,
2026-03-04,枕崎,1.5kg上,288.0,5.0,
2026-03-09,枕崎,1.5kg上,288.0,3.0,
2026-03-12,枕崎,1.5kg上,288.0,2.0,
2026-03-23,枕崎,1.5kg上,292.0,3.0,
2026-03-25,枕崎,1.5kg上,295.0,3.0,
2026-03-04,枕崎,1.5kg下ダル混,186.0,5.0,
2026-03-09,枕崎,1.5kg下ダル混,189.1,3.0,
2026-03-12,枕崎,1.5kg下ダル混,190.2,1.0,
2026-03-23,枕崎,1.5kg下ダル混,195.1,3.0,
2026-03-25,枕崎,1.5kg下ダル混,201.3,3.0,
2026-03-04,枕崎,キメジキス,128.1,0.0,
2026-03-09,枕崎,キメジキス,130.1,0.0,
2026-03-12,枕崎,キメジキス,134.0,1.0,
2026-03-23,枕崎,キメジキス,144.0,0.0,
2026-03-25,枕崎,キメジキス,150.0,0.0,
2026-03-04,枕崎,大キズ,151.5,0.0,
2026-03-09,枕崎,大キズ,148.0,0.0,
2026-03-12,枕崎,大キズ,145.0,0.0,
2026-03-23,枕崎,大キズ,156.1,0.0,
2026-03-25,枕崎,大キズ,180.0,0.0,
2026-03-04,枕崎,ダルマ1.5kg上,202.0,2.0,
2026-03-09,枕崎,ダルマ1.5kg上,203.1,3.0,
2026-03-12,枕崎,ダルマ1.5kg上,202.1,1.0,
2026-03-23,枕崎,ダルマ1.5kg上,203.1,1.0,
2026-03-25,枕崎,ダルマ1.5kg上,203.3,1.0,
2026-03-03,山川,4.5kg上,250.15,50.0,
2026-03-14,山川,4.5kg上,264.73,40.0,
2026-03-23,山川,4.5kg上,261.22,70.0,
2026-03-03,山川,2.5kg上,254.6,260.0,
2026-03-14,山川,2.5kg上,265.0,270.0,
2026-03-23,山川,2.5kg上,278.44,330.0,
2026-03-03,山川,1.8kg上,256.78,30.0,
2026-03-14,山川,1.8kg上,268.0,100.0,
2026-03-23,山川,1.8kg上,272.3,30.0,
2026-03-03,山川,1.8kg下,246.0,30.0,
2026-03-14,山川,1.8kg下,265.0,40.0,
2026-03-23,山川,1.8kg下,270.0,10.0,
2026-03-14,山川,6.0kg上,235.52,20.0,
2026-03-23,山川,6.0kg上,247.3,20.0,
2026-03-23,山川,2.5上変形,256.9,0.0,
2026-03-23,山川,2.5下変形,258.0,0.0,
2026-03-23,山川,キメジ 3下,292.1,10.0,
2026-03-23,山川,キメジ 1.5下,192.0,5.0,
2026-03-23,山川,メバチ 3下,195.0,5.0,
2026-03-04,焼津,4.5kg上,251.0,15.0,
2026-03-11,焼津,4.5kg上,236.0,50.0,
2026-03-16,焼津,4.5kg上,245.0,80.0,
2026-03-18,焼津,4.5kg上,329.38,200.0,
2026-03-24,焼津,4.5kg上,270.0,30.0,
2026-03-30,焼津,4.5kg上,357.0,50.0,
2026-03-04,焼津,2.5kg上,250.0,200.0,
2026-03-11,焼津,2.5kg上,253.0,240.0,
2026-03-16,焼津,2.5kg上,256.5,220.0,
2026-03-18,焼津,2.5kg上,277.74,210.0,
2026-03-24,焼津,2.5kg上,267.0,180.0,
2026-03-30,焼津,2.5kg上,321.67,240.0,
2026-03-04,焼津,1.8kg上,248.0,20.0,
2026-03-11,焼津,1.8kg上,248.0,50.0,
2026-03-16,焼津,1.8kg上,250.0,60.0,
2026-03-18,焼津,1.8kg上,260.0,20.0,
2026-03-24,焼津,1.8kg上,274.0,60.0,
2026-03-30,焼津,1.8kg上,311.0,20.0,
2026-03-04,焼津,1.8kg下,248.0,10.0,
2026-03-11,焼津,1.8kg下,245.0,10.0,
2026-03-16,焼津,1.8kg下,255.0,30.0,
2026-03-18,焼津,1.8kg下,255.0,10.0,
2026-03-24,焼津,1.8kg下,270.0,30.0,
2026-03-30,焼津,1.8kg下,300.0,30.0,
2026-03-18,焼津,7.0kg上,360.0,80.0,
2026-03-30,焼津,7.0kg上,385.0,60.0,
2026-03-18,焼津,1.5kg上,385.0,5.0,
2026-03-30,焼津,1.5kg上,395.0,15.0,
